"trial_type","trial_index","time_elapsed","internal_node_id","subject","walkNumber","success","rt","stimulus","key_press","test_part","leftProb","midProb","rightProb","generatedNum","correct"
"image-keyboard-response",652,430720,"0.0-3.213-2.213","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",653,430822,"0.0-3.214-0.214","s2zthvxk4cjltjq","71.csv","","100.20000004768372","resources/trios/L2T2A1.jpg","38","restless",0.7,0.8,0.5,0.158175056540901,"true"
"image-keyboard-response",654,431226,"0.0-3.214-1.214","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT2B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",655,432429,"0.0-3.214-2.214","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",656,432473,"0.0-3.215-0.215","s2zthvxk4cjltjq","71.csv","","41.699999928474426","resources/trios/L2T4A2.jpg","38","restless",0.7,0.8,0.5,0.804114240285174,"false"
"image-keyboard-response",657,432880,"0.0-3.215-1.215","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT4B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",658,434086,"0.0-3.215-2.215","s2zthvxk4cjltjq","71.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",659,434148,"0.0-3.216-0.216","s2zthvxk4cjltjq","71.csv","","59","resources/trios/L2T4A1.jpg","38","restless",0.7,0.8,0.5,0.00525309465560175,"true"
"image-keyboard-response",660,434555,"0.0-3.216-1.216","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT4B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",661,435759,"0.0-3.216-2.216","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",662,435761,"0.0-3.217-0.217","s2zthvxk4cjltjq","71.csv","","0.10000002384185791","resources/trios/L4T4A2.jpg","38","restless",0.7,0.8,0.5,0.708823318044411,"true"
"image-keyboard-response",663,436164,"0.0-3.217-1.217","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT4B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",664,437370,"0.0-3.217-2.217","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",665,437674,"0.0-3.218-0.218","s2zthvxk4cjltjq","71.csv","","302.2000000476837","resources/trios/L2T2A1.jpg","38","restless",0.7,0.8,0.5,0.366927189975109,"true"
"image-keyboard-response",666,438082,"0.0-3.218-1.218","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT2B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",667,439284,"0.0-3.218-2.218","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",668,439312,"0.0-3.219-0.219","s2zthvxk4cjltjq","71.csv","","26.399999976158142","resources/trios/L4T2A2.jpg","38","restless",0.7,0.8,0.5,0.437720205283715,"true"
"image-keyboard-response",669,439714,"0.0-3.219-1.219","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT2B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",670,440917,"0.0-3.219-2.219","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",671,441070,"0.0-3.220-0.220","s2zthvxk4cjltjq","71.csv","","151.39999997615814","resources/trios/L2T2A1.jpg","38","restless",0.7,0.7,0.6,0.105018952439399,"true"
"image-keyboard-response",672,441476,"0.0-3.220-1.220","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT2B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",673,442682,"0.0-3.220-2.220","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",674,442691,"0.0-3.221-0.221","s2zthvxk4cjltjq","71.csv","","6.699999928474426","resources/trios/L2T2A2.jpg","38","restless",0.8,0.7,0.6,0.844303881919639,"false"
"image-keyboard-response",675,443093,"0.0-3.221-1.221","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT2B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",676,444299,"0.0-3.221-2.221","s2zthvxk4cjltjq","71.csv","","null","resources/images/fishbone.png","null","",NA,NA,NA,NA,""
"image-keyboard-response",677,444411,"0.0-3.222-0.222","s2zthvxk4cjltjq","71.csv","","108.80000007152557","resources/trios/L4T4A2.jpg","38","restless",0.8,0.7,0.6,0.66772439228833,"true"
"image-keyboard-response",678,444818,"0.0-3.222-1.222","s2zthvxk4cjltjq","71.csv","","null","resources/maskTrios/BT4B.jpg","null","",NA,NA,NA,NA,""
"image-keyboard-response",679,446025,"0.0-3.222-2.222","s2zthvxk4cjltjq","71.csv","","null","resources/images/coin2.png","null","",NA,NA,NA,NA,""
